run,exit_code,acquire_success_count,already_running_count,pass,log_path
1,0,0,0,False,.\logs\supervisor-lock-race-run-01-20260306_155654.log
2,0,0,0,False,.\logs\supervisor-lock-race-run-02-20260306_155654.log
3,0,0,0,False,.\logs\supervisor-lock-race-run-03-20260306_155654.log
4,0,0,0,False,.\logs\supervisor-lock-race-run-04-20260306_155654.log
5,0,0,0,False,.\logs\supervisor-lock-race-run-05-20260306_155654.log
6,0,0,0,False,.\logs\supervisor-lock-race-run-06-20260306_155654.log
7,0,0,0,False,.\logs\supervisor-lock-race-run-07-20260306_155654.log
8,0,0,0,False,.\logs\supervisor-lock-race-run-08-20260306_155654.log
9,0,0,0,False,.\logs\supervisor-lock-race-run-09-20260306_155654.log
10,0,0,0,False,.\logs\supervisor-lock-race-run-10-20260306_155654.log
11,0,0,0,False,.\logs\supervisor-lock-race-run-11-20260306_155654.log
12,0,0,0,False,.\logs\supervisor-lock-race-run-12-20260306_155654.log
13,0,0,0,False,.\logs\supervisor-lock-race-run-13-20260306_155654.log
14,0,0,0,False,.\logs\supervisor-lock-race-run-14-20260306_155654.log
15,0,0,0,False,.\logs\supervisor-lock-race-run-15-20260306_155654.log
16,0,0,0,False,.\logs\supervisor-lock-race-run-16-20260306_155654.log
17,0,0,0,False,.\logs\supervisor-lock-race-run-17-20260306_155654.log
18,0,0,0,False,.\logs\supervisor-lock-race-run-18-20260306_155654.log
19,0,0,0,False,.\logs\supervisor-lock-race-run-19-20260306_155654.log
20,0,0,0,False,.\logs\supervisor-lock-race-run-20-20260306_155654.log
